StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,1_encoding1Time_First Click,1_encoding1Time_Last Click,1_encoding1Time_Page Submit,1_encoding1Time_Click Count,2_encoding1Time_First Click,2_encoding1Time_Last Click,2_encoding1Time_Page Submit,2_encoding1Time_Click Count,3_encoding1Time_First Click,3_encoding1Time_Last Click,3_encoding1Time_Page Submit,3_encoding1Time_Click Count,4_encoding1Time_First Click,4_encoding1Time_Last Click,4_encoding1Time_Page Submit,4_encoding1Time_Click Count,5_encoding1Time_First Click,5_encoding1Time_Last Click,5_encoding1Time_Page Submit,5_encoding1Time_Click Count,6_encoding1Time_First Click,6_encoding1Time_Last Click,6_encoding1Time_Page Submit,6_encoding1Time_Click Count,7_encoding1Time_First Click,7_encoding1Time_Last Click,7_encoding1Time_Page Submit,7_encoding1Time_Click Count,8_encoding1Time_First Click,8_encoding1Time_Last Click,8_encoding1Time_Page Submit,8_encoding1Time_Click Count,9_encoding1Time_First Click,9_encoding1Time_Last Click,9_encoding1Time_Page Submit,9_encoding1Time_Click Count,10_encoding1Time_First Click,10_encoding1Time_Last Click,10_encoding1Time_Page Submit,10_encoding1Time_Click Count,11_encoding1Time_First Click,11_encoding1Time_Last Click,11_encoding1Time_Page Submit,11_encoding1Time_Click Count,12_encoding1Time_First Click,12_encoding1Time_Last Click,12_encoding1Time_Page Submit,12_encoding1Time_Click Count,13_encoding1Time_First Click,13_encoding1Time_Last Click,13_encoding1Time_Page Submit,13_encoding1Time_Click Count,14_encoding1Time_First Click,14_encoding1Time_Last Click,14_encoding1Time_Page Submit,14_encoding1Time_Click Count,15_encoding1Time_First Click,15_encoding1Time_Last Click,15_encoding1Time_Page Submit,15_encoding1Time_Click Count,16_encoding1Time_First Click,16_encoding1Time_Last Click,16_encoding1Time_Page Submit,16_encoding1Time_Click Count,17_encoding1Time_First Click,17_encoding1Time_Last Click,17_encoding1Time_Page Submit,17_encoding1Time_Click Count,18_encoding1Time_First Click,18_encoding1Time_Last Click,18_encoding1Time_Page Submit,18_encoding1Time_Click Count,19_encoding1Time_First Click,19_encoding1Time_Last Click,19_encoding1Time_Page Submit,19_encoding1Time_Click Count,20_encoding1Time_First Click,20_encoding1Time_Last Click,20_encoding1Time_Page Submit,20_encoding1Time_Click Count,21_encoding1Time_First Click,21_encoding1Time_Last Click,21_encoding1Time_Page Submit,21_encoding1Time_Click Count,22_encoding1Time_First Click,22_encoding1Time_Last Click,22_encoding1Time_Page Submit,22_encoding1Time_Click Count,23_encoding1Time_First Click,23_encoding1Time_Last Click,23_encoding1Time_Page Submit,23_encoding1Time_Click Count,24_encoding1Time_First Click,24_encoding1Time_Last Click,24_encoding1Time_Page Submit,24_encoding1Time_Click Count,1_encoding2Time_First Click,1_encoding2Time_Last Click,1_encoding2Time_Page Submit,1_encoding2Time_Click Count,2_encoding2Time_First Click,2_encoding2Time_Last Click,2_encoding2Time_Page Submit,2_encoding2Time_Click Count,3_encoding2Time_First Click,3_encoding2Time_Last Click,3_encoding2Time_Page Submit,3_encoding2Time_Click Count,4_encoding2Time_First Click,4_encoding2Time_Last Click,4_encoding2Time_Page Submit,4_encoding2Time_Click Count,5_encoding2Time_First Click,5_encoding2Time_Last Click,5_encoding2Time_Page Submit,5_encoding2Time_Click Count,6_encoding2Time_First Click,6_encoding2Time_Last Click,6_encoding2Time_Page Submit,6_encoding2Time_Click Count,7_encoding2Time_First Click,7_encoding2Time_Last Click,7_encoding2Time_Page Submit,7_encoding2Time_Click Count,8_encoding2Time_First Click,8_encoding2Time_Last Click,8_encoding2Time_Page Submit,8_encoding2Time_Click Count,9_encoding2Time_First Click,9_encoding2Time_Last Click,9_encoding2Time_Page Submit,9_encoding2Time_Click Count,10_encoding2Time_First Click,10_encoding2Time_Last Click,10_encoding2Time_Page Submit,10_encoding2Time_Click Count,11_encoding2Time_First Click,11_encoding2Time_Last Click,11_encoding2Time_Page Submit,11_encoding2Time_Click Count,12_encoding2Time_First Click,12_encoding2Time_Last Click,12_encoding2Time_Page Submit,12_encoding2Time_Click Count,13_encoding2Time_First Click,13_encoding2Time_Last Click,13_encoding2Time_Page Submit,13_encoding2Time_Click Count,14_encoding2Time_First Click,14_encoding2Time_Last Click,14_encoding2Time_Page Submit,14_encoding2Time_Click Count,15_encoding2Time_First Click,15_encoding2Time_Last Click,15_encoding2Time_Page Submit,15_encoding2Time_Click Count,16_encoding2Time_First Click,16_encoding2Time_Last Click,16_encoding2Time_Page Submit,16_encoding2Time_Click Count,17_encoding2Time_First Click,17_encoding2Time_Last Click,17_encoding2Time_Page Submit,17_encoding2Time_Click Count,18_encoding2Time_First Click,18_encoding2Time_Last Click,18_encoding2Time_Page Submit,18_encoding2Time_Click Count,19_encoding2Time_First Click,19_encoding2Time_Last Click,19_encoding2Time_Page Submit,19_encoding2Time_Click Count,20_encoding2Time_First Click,20_encoding2Time_Last Click,20_encoding2Time_Page Submit,20_encoding2Time_Click Count,21_encoding2Time_First Click,21_encoding2Time_Last Click,21_encoding2Time_Page Submit,21_encoding2Time_Click Count,22_encoding2Time_First Click,22_encoding2Time_Last Click,22_encoding2Time_Page Submit,22_encoding2Time_Click Count,23_encoding2Time_First Click,23_encoding2Time_Last Click,23_encoding2Time_Page Submit,23_encoding2Time_Click Count,24_encoding2Time_First Click,24_encoding2Time_Last Click,24_encoding2Time_Page Submit,24_encoding2Time_Click Count,1_mathQuiz,2_mathQuiz,3_mathQuiz,4_mathQuiz,5_mathQuiz,6_mathQuiz,7_mathQuiz,8_mathQuiz,9_mathQuiz,10_mathQuiz,1_recog,2_recog,3_recog,4_recog,5_recog,6_recog,7_recog,8_recog,9_recog,10_recog,11_recog,12_recog,13_recog,14_recog,15_recog,16_recog,17_recog,18_recog,19_recog,20_recog,21_recog,22_recog,23_recog,24_recog,25_recog,26_recog,27_recog,28_recog,29_recog,30_recog,31_recog,32_recog,33_recog,34_recog,35_recog,36_recog,37_recog,38_recog,39_recog,40_recog,41_recog,42_recog,43_recog,44_recog,45_recog,46_recog,47_recog,48_recog,contactQs_1,contactQs_2,contactQs_3,contactQs_4,contactQs_5,contactQs_6,contactQs_7,contactQs_8,contactQs_9,contactQs_10,contactQs_11,contactQs_12,contactQs_13,contactQs_14,contactQs_15,contactQs_DO,blkRecog_1,whtRecog_1,blkInter_1,whtInter_1,botCheck,manipCheck,age,race,race_6_TEXT,sex,sex_3_TEXT,FL_13_DO,FL_14_DO,individualdifference-motivation_DO
9/13/21 17:04,9/13/21 17:20,0,174.141.192.123,100,988,1,9/13/21 17:20,R_3qUVPSnpk4Vv2Tb,,,,,44.93989563,-93.25479889,anonymous,EN,1,0,0,2.015,0,0,0,2.109,0,0,0,2.108,0,0,0,2.008,0,0,0,2.016,0,0,0,2.116,0,0,0,2.011,0,0,0,2.008,0,0,0,2.127,0,0,0,2.115,0,0,0,2.108,0,0,0,2.122,0,0,0,2.109,0,0,0,2.114,0,0,0,2.008,0,0,0,2.009,0,0,0,2.008,0,0,0,2.008,0,0,0,2.114,0,0,0,2.008,0,0,0,2.114,0,0,0,2.016,0,0,0,2.016,0,0,0,2.119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,54,10,6,40,49,21,13,8,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6,1,6,6,1,1,8|12|9|3|10|2|13|14|1|4|11|7|5|15|6,3,3,82,83,I try to focus on each face and pick one thing from the face in order to recognize it.,About memories and IQ,27,2,,2,,encoding-block1,individualdifference-motivation|individualdifference-experience,motivationInstr|blkInter|whtInter|whtRecog|blkRecog
9/13/21 17:12,9/13/21 17:27,0,72.230.82.99,100,881,1,9/13/21 17:27,R_8tOiomNQMXWSl2h,,,,,43.05990601,-76.14160156,anonymous,EN,1,0,0,2.015,0,0,0,2.112,0,0,0,2.11,0,0,0,2.015,0,0,0,2.113,0,0,0,2.008,0,0,0,2.111,0,0,0,2.114,0,0,0,2.115,0,0,0,2.112,0,0,0,2.015,0,0,0,2.114,0,0,0,2.113,0,0,0,2.117,0,0,0,2.11,0,0,0,2.112,0,0,0,2.009,0,0,0,2.011,0,0,0,2.01,0,0,0,2.109,0,0,0,2.113,0,0,0,2.115,0,0,0,2.013,0,0,0,2.116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,54,10,6,35,36,343,13,8,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,1,3,4,4,4,4,5,4,4,4,5,3,4,4,2,3,9|10|3|14|1|2|5|8|7|13|6|4|11|15|12,3,3,38,60,I do not know really how I arrived at my answers; I tried to just use my gut as much as possible ,Perhaps in is about racial interacation ,33,1,,2,,encoding-block1,individualdifference-motivation|individualdifference-experience,motivationInstr|blkRecog|whtRecog|blkInter|whtInter
9/13/21 17:17,9/13/21 17:32,0,67.167.40.30,100,911,1,9/13/21 17:32,R_2XjSFzHVKaTGhUo,,,,,41.71240234,-87.74780273,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.009,0,0,0,2.009,0,0,0,2.009,0,0,0,2.11,0,0,0,2.009,0,0,0,2.01,0,0,0,2.009,0,0,0,2.009,0,0,0,2.009,0,0.394,0.394,2.011,1,0,0,2.01,0,0,0,2.11,0,0.957,0.957,2.009,1,0,0,2.109,0,0,0,2.008,0,0,0,2.008,0,0,0,2.109,0,0,0,2.01,0,0,0,2.113,0,1.558,1.971,2.013,2,0,0,2.01,0,0,0,2.011,0,0,0,2.009,0,0,0,2.009,0,9,3,54,25,6,40,49,400,13,8,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,6,6,3,1,6,6,6,1,6,1,1,6,6,2,5|13|9|2|6|3|1|12|11|8|7|15|10|4|14,2,4,5,88,"Because I feel like I mostly interact with white people, I feel the need to remember those faces more ","Maybe something having to do with crime. When questioning a victim, their brain isn’t as fresh and might make up the face they think they saw ",,1,,2,,encoding-block2,individualdifference-experience|individualdifference-motivation,motivationInstr|whtRecog|blkInter|whtInter|blkRecog
9/13/21 17:34,9/13/21 17:34,0,173.173.202.150,100,15,1,9/13/21 17:34,R_1r0PNqjo0aTKcm4,,,,,26.19659424,-97.69120026,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/21 17:21,9/13/21 17:39,0,166.144.40.205,100,1091,1,9/13/21 17:39,R_2tMdrERYA9HMHdj,,,,,34.05439758,-118.2440033,anonymous,EN,1,0,0,2.015,0,1.839,1.839,2.011,1,0,0,2.015,0,0,0,2.115,0,0,0,2.013,0,0,0,2.015,0,1.212,1.212,2.117,1,0,0,2.114,0,0,0,2.015,0,0,0,2.017,0,0,0,2.013,0,0,0,2.014,0,0,0,2.015,0,0,0,2.113,0,0,0,2.015,0,0,0,2.014,0,0,0,2.117,0,0,0,2.019,0,0,0,2.128,0,0,0,2.012,0,0,0,2.114,0,0,0,2.116,0,0,0,2.015,0,0.195,0.195,2.013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,54,10,6,40,49,21,13,8,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,2,4,4,4,3,4,4,4,3,4,5,3,4,3,4,4,11|15|1|5|13|8|10|2|12|9|7|4|3|14|6,7,2,83,59,Easy and impressive ,Impression on faces,29,2,,1,,encoding-block1,individualdifference-experience|individualdifference-motivation,motivationInstr|blkRecog|whtInter|blkInter|whtRecog
9/13/21 17:26,9/13/21 17:40,0,68.5.66.187,100,879,1,9/13/21 17:40,R_2vYSnmxCQ8RcoV8,,,,,33.54089355,-117.7845993,anonymous,EN,1,0,0,2.107,0,0,0,2.113,0,0,0,2.016,0,0,0,2.109,0,0,0,2.011,0,0,0,2.013,0,0,0,2.012,0,0,0,2.014,0,0,0,2.006,0,0,0,2.01,0,0,0,2.009,0,0,0,2.012,0,0,0,2.007,0,0,0,2.014,0,0,0,2.115,0,0,0,2.008,0,0,0,2.014,0,0,0,2.107,0,0,0,2.008,0,0,0,2.008,0,0,0,2.016,0,0,0,2.014,0,0,0,2.016,0,0,0,2.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,54,10,6,35,49,343,13,8,2,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,2,6,6,4,4,6,5,4,3,6,1,1,6,1,1,14|11|6|5|15|4|7|9|8|1|13|3|12|2|10,6,4,27,57,"I live where there are many different ethnicities, so it is a little hard to determine some answers exactly. I tried to be as accurate as possible.",How often people interact with white people vs. black people,23,1,,2,,encoding-block1,individualdifference-motivation|individualdifference-experience,motivationInstr|blkInter|whtInter|blkRecog|whtRecog
9/13/21 17:34,9/13/21 18:00,0,96.255.71.253,100,1571,1,9/13/21 18:00,R_aaxnsyf1cWe4LrH,,,,,38.96090698,-77.34290314,anonymous,EN,1,0,0,2.114,0,0,0,2.113,0,0,0,2.007,0,0,0,2.11,0,0,0,2.012,0,0,0,2.008,0,0,0,2.007,0,0,0,2.015,0,0,0,2.011,0,0,0,2.01,0,0,0,2.113,0,0,0,2.112,0,0,0,2.114,0,0,0,2.118,0,0,0,2.111,0,0,0,2.008,0,0,0,2.114,0,0,0,2.012,0,0,0,2.106,0,0,0,2.113,0,0,0,2.008,0,0,0,2.111,0,0,0,2.01,0,0,0,2.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.75,54,10,6,40,49,343,13,8,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,6,5,6,6,5,6,4,6,6,5,1,6,6,1,6,9|10|11|3|13|1|15|5|12|8|6|4|14|7|2,7,5,100,92,I relied on my memory to detect faces i saw before and daily experiences to answer few questions.,To ascertain the level of real life interaction between the black and white race.,24,2,,1,,encoding-block1,individualdifference-experience|individualdifference-motivation,motivationInstr|blkInter|whtInter|whtRecog|blkRecog
9/13/21 17:54,9/13/21 18:05,0,104.153.228.196,100,661,1,9/13/21 18:05,R_8wi3AhPijAZpnMJ,,,,,41.90170288,-87.65630341,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.011,0,0,0,2.106,0,0,0,2.008,0,0,0,2.107,0,0,0,2.009,0,0,0,2.009,0,0,0,2.107,0,0,0,2.006,0,0,0,2.01,0,0,0,2.107,0,0,0,2.108,0,0,0,2.007,0,0,0,2.007,0,0,0,2.11,0,0,0,2.005,0,0,0,2.008,0,0,0,2.112,0,0,0,2.006,0,0,0,2.008,0,0,0,2.111,0,0,0,2.111,0,0,0,2.007,0,0,0,2.11,0,0,0,2.007,0,36,3,54,10,6,40,49,343,13,8,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,14|9|2|7|8|5|3|15|13|11|1|4|6|10|12,3,3,24,55,I have lived and gone to school in similar environments so it was easy to come to conclusions,The way that different races are able to remember and differentiate between faces,25,1,,2,,encoding-block2,individualdifference-motivation|individualdifference-experience,motivationInstr|blkRecog|whtRecog|whtInter|blkInter
9/13/21 18:00,9/13/21 18:08,0,65.183.143.159,100,511,1,9/13/21 18:08,R_2wsjECIHh7yPxVX,,,,,44.4828949,-73.22530365,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.007,0,0,0,2.111,0,0,0,2.008,0,0,0,2.109,0,0,0,2.109,0,0,0,2.007,0,0,0,2.009,0,0,0,2.006,0,0,0,2.007,0,0,0,2.009,0,0,0,2.007,0,0,0,2.108,0,0,0,2.109,0,0,0,2.106,0,0,0,2.008,0,0,0,2.008,0,0,0,2.107,0,0,0,2.11,0,0,0,2.01,0,0,0,2.008,0,0,0,2.008,0,0,0,2.007,0,0,0,2.01,0,0,0,2.007,0,9,3,54,10,6,40,49,343,13,8,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,6,6,4,2,6,6,6,3,6,1,3,6,4,1,6|12|7|8|5|3|4|10|13|2|14|15|9|11|1,6,4,5,85,"I have always lived in predominately white areas but I do have black friends and interact with them, just not close to as much as white people.",Recognizing black faces vs white faces based on the primary race I interact with.,22,1,,1,,encoding-block2,individualdifference-experience|individualdifference-motivation,motivationInstr|whtInter|blkRecog|blkInter|whtRecog
9/13/21 18:03,9/13/21 18:09,0,97.113.49.92,100,388,1,9/13/21 18:09,R_1dLc61oM7sAZVxg,,,,,47.67329407,-122.3426056,anonymous,EN,1,0,0,2.011,0,0,0,2.025,0,0,0,2.114,0,0,0,2.118,0,0,0,2.011,0,0,0,2.014,0,0,0,2.139,0,0,0,2.109,0,0,0,2.011,0,0,0,2.111,0,0,0,2.019,0,0,0,2.025,0,0,0,2.124,0,0,0,2.117,0,0,0,2.125,0,0,0,2.12,0,0,0,2.11,0,0,0,2.01,0,0,0,2.018,0,0,0,2.114,0,0,0,2.02,0,0,0,2.011,0,0,0,2.115,0,0,0,2.014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,54,10,6,40,49,163,13,8,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,4,5,6,5,4,6,6,6,3,6,1,3,6,4,1,7|12|11|2|9|5|15|3|10|8|4|13|6|1|14,7,5,20,80,Gut feelings/memory,how racial biases affect memory,22,1,,3,"non-binary, come on it's 2021 and u only have M and F??",encoding-block1,individualdifference-experience|individualdifference-motivation,motivationInstr|blkRecog|whtRecog|whtInter|blkInter
