StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,1_encoding1Time_First Click,1_encoding1Time_Last Click,1_encoding1Time_Page Submit,1_encoding1Time_Click Count,2_encoding1Time_First Click,2_encoding1Time_Last Click,2_encoding1Time_Page Submit,2_encoding1Time_Click Count,3_encoding1Time_First Click,3_encoding1Time_Last Click,3_encoding1Time_Page Submit,3_encoding1Time_Click Count,4_encoding1Time_First Click,4_encoding1Time_Last Click,4_encoding1Time_Page Submit,4_encoding1Time_Click Count,5_encoding1Time_First Click,5_encoding1Time_Last Click,5_encoding1Time_Page Submit,5_encoding1Time_Click Count,6_encoding1Time_First Click,6_encoding1Time_Last Click,6_encoding1Time_Page Submit,6_encoding1Time_Click Count,7_encoding1Time_First Click,7_encoding1Time_Last Click,7_encoding1Time_Page Submit,7_encoding1Time_Click Count,8_encoding1Time_First Click,8_encoding1Time_Last Click,8_encoding1Time_Page Submit,8_encoding1Time_Click Count,9_encoding1Time_First Click,9_encoding1Time_Last Click,9_encoding1Time_Page Submit,9_encoding1Time_Click Count,10_encoding1Time_First Click,10_encoding1Time_Last Click,10_encoding1Time_Page Submit,10_encoding1Time_Click Count,11_encoding1Time_First Click,11_encoding1Time_Last Click,11_encoding1Time_Page Submit,11_encoding1Time_Click Count,12_encoding1Time_First Click,12_encoding1Time_Last Click,12_encoding1Time_Page Submit,12_encoding1Time_Click Count,13_encoding1Time_First Click,13_encoding1Time_Last Click,13_encoding1Time_Page Submit,13_encoding1Time_Click Count,14_encoding1Time_First Click,14_encoding1Time_Last Click,14_encoding1Time_Page Submit,14_encoding1Time_Click Count,15_encoding1Time_First Click,15_encoding1Time_Last Click,15_encoding1Time_Page Submit,15_encoding1Time_Click Count,16_encoding1Time_First Click,16_encoding1Time_Last Click,16_encoding1Time_Page Submit,16_encoding1Time_Click Count,17_encoding1Time_First Click,17_encoding1Time_Last Click,17_encoding1Time_Page Submit,17_encoding1Time_Click Count,18_encoding1Time_First Click,18_encoding1Time_Last Click,18_encoding1Time_Page Submit,18_encoding1Time_Click Count,19_encoding1Time_First Click,19_encoding1Time_Last Click,19_encoding1Time_Page Submit,19_encoding1Time_Click Count,20_encoding1Time_First Click,20_encoding1Time_Last Click,20_encoding1Time_Page Submit,20_encoding1Time_Click Count,21_encoding1Time_First Click,21_encoding1Time_Last Click,21_encoding1Time_Page Submit,21_encoding1Time_Click Count,22_encoding1Time_First Click,22_encoding1Time_Last Click,22_encoding1Time_Page Submit,22_encoding1Time_Click Count,23_encoding1Time_First Click,23_encoding1Time_Last Click,23_encoding1Time_Page Submit,23_encoding1Time_Click Count,24_encoding1Time_First Click,24_encoding1Time_Last Click,24_encoding1Time_Page Submit,24_encoding1Time_Click Count,1_encoding2Time_First Click,1_encoding2Time_Last Click,1_encoding2Time_Page Submit,1_encoding2Time_Click Count,2_encoding2Time_First Click,2_encoding2Time_Last Click,2_encoding2Time_Page Submit,2_encoding2Time_Click Count,3_encoding2Time_First Click,3_encoding2Time_Last Click,3_encoding2Time_Page Submit,3_encoding2Time_Click Count,4_encoding2Time_First Click,4_encoding2Time_Last Click,4_encoding2Time_Page Submit,4_encoding2Time_Click Count,5_encoding2Time_First Click,5_encoding2Time_Last Click,5_encoding2Time_Page Submit,5_encoding2Time_Click Count,6_encoding2Time_First Click,6_encoding2Time_Last Click,6_encoding2Time_Page Submit,6_encoding2Time_Click Count,7_encoding2Time_First Click,7_encoding2Time_Last Click,7_encoding2Time_Page Submit,7_encoding2Time_Click Count,8_encoding2Time_First Click,8_encoding2Time_Last Click,8_encoding2Time_Page Submit,8_encoding2Time_Click Count,9_encoding2Time_First Click,9_encoding2Time_Last Click,9_encoding2Time_Page Submit,9_encoding2Time_Click Count,10_encoding2Time_First Click,10_encoding2Time_Last Click,10_encoding2Time_Page Submit,10_encoding2Time_Click Count,11_encoding2Time_First Click,11_encoding2Time_Last Click,11_encoding2Time_Page Submit,11_encoding2Time_Click Count,12_encoding2Time_First Click,12_encoding2Time_Last Click,12_encoding2Time_Page Submit,12_encoding2Time_Click Count,13_encoding2Time_First Click,13_encoding2Time_Last Click,13_encoding2Time_Page Submit,13_encoding2Time_Click Count,14_encoding2Time_First Click,14_encoding2Time_Last Click,14_encoding2Time_Page Submit,14_encoding2Time_Click Count,15_encoding2Time_First Click,15_encoding2Time_Last Click,15_encoding2Time_Page Submit,15_encoding2Time_Click Count,16_encoding2Time_First Click,16_encoding2Time_Last Click,16_encoding2Time_Page Submit,16_encoding2Time_Click Count,17_encoding2Time_First Click,17_encoding2Time_Last Click,17_encoding2Time_Page Submit,17_encoding2Time_Click Count,18_encoding2Time_First Click,18_encoding2Time_Last Click,18_encoding2Time_Page Submit,18_encoding2Time_Click Count,19_encoding2Time_First Click,19_encoding2Time_Last Click,19_encoding2Time_Page Submit,19_encoding2Time_Click Count,20_encoding2Time_First Click,20_encoding2Time_Last Click,20_encoding2Time_Page Submit,20_encoding2Time_Click Count,21_encoding2Time_First Click,21_encoding2Time_Last Click,21_encoding2Time_Page Submit,21_encoding2Time_Click Count,22_encoding2Time_First Click,22_encoding2Time_Last Click,22_encoding2Time_Page Submit,22_encoding2Time_Click Count,23_encoding2Time_First Click,23_encoding2Time_Last Click,23_encoding2Time_Page Submit,23_encoding2Time_Click Count,24_encoding2Time_First Click,24_encoding2Time_Last Click,24_encoding2Time_Page Submit,24_encoding2Time_Click Count,1_mathQuiz,2_mathQuiz,3_mathQuiz,4_mathQuiz,5_mathQuiz,6_mathQuiz,7_mathQuiz,8_mathQuiz,9_mathQuiz,10_mathQuiz,1_recog,2_recog,3_recog,4_recog,5_recog,6_recog,7_recog,8_recog,9_recog,10_recog,11_recog,12_recog,13_recog,14_recog,15_recog,16_recog,17_recog,18_recog,19_recog,20_recog,21_recog,22_recog,23_recog,24_recog,25_recog,26_recog,27_recog,28_recog,29_recog,30_recog,31_recog,32_recog,33_recog,34_recog,35_recog,36_recog,37_recog,38_recog,39_recog,40_recog,41_recog,42_recog,43_recog,44_recog,45_recog,46_recog,47_recog,48_recog,contactQs_1,contactQs_2,contactQs_3,contactQs_4,contactQs_5,contactQs_6,contactQs_7,contactQs_8,contactQs_9,contactQs_10,contactQs_11,contactQs_12,contactQs_13,contactQs_14,contactQs_15,contactQs_DO,friendship_1,friendship_2,friendship_3,friendship_4,friendship_5,friendship_6,friendship_7,friendship_8,friendship_9,friendship_10,friendship_11,friendship_12,friendship_13,friendship_14,friendship_15,friendship_16,friendship_17,friendship_18,friendship_DO,botCheck,manipCheck,age,race,race_6_TEXT,sex,sex_3_TEXT,FL_13_DO,FL_14_DO,individualdifference-motivation_DO
10/21/21 10:20,10/21/21 10:43,0,105.209.110.91,100,1329,1,10/21/21 10:43,R_1IoPzVmjn4ZAaH8,,,,,-26.38110352,27.83760071,anonymous,EN,1,0,0,2.11,0,0,0,2.01,0,0,0,2.008,0,0,0,2.013,0,0,0,2.012,0,0,0,2.108,0,0,0,2.113,0,0,0,2.007,0,0,0,2.144,0,0,0,2.113,0,0,0,2.115,0,0,0,2.012,0,0,0,2.009,0,0,0,2.013,0,0,0,2.007,0,0,0,2.013,0,0,0,2.013,0,0,0,2.115,0,0,0,2.113,0,0,0,2.113,0,0,0,2.014,0,0,0,2.01,0,0,0,2.009,0,0,0,2.009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,54,10,6,40,49,343,13,8,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,2,6,3,5,6,6,1,1,6,6,1,2,6,6,1,3,5|4|13|14|3|8|12|9|1|15|6|2|10|7|11,5,3,5,5,5,5,4,3,4,4,3,4,3,3,5,4,3,5,6|18|4|15|1|3|5|8|2|14|10|16|11|17|13|7|9|12,I answered as honest as possible.,Racial interactions,,2,,2,,encoding-block1,individualdifference-experience|individualdifference-motivation,friendship
10/21/21 10:40,10/21/21 10:59,0,105.246.102.174,100,1186,1,10/21/21 10:59,R_1lrFkU2h8apYHMN,,,,,-28.78660583,32.10389709,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.012,0,0,0,2.014,0,0,0,2.021,0,0,0,2.106,0,0,0,2.009,0,0,0,2.115,0,0,0,2.012,0,0,0,2.117,0,0,0,2.011,0,0,0,2.008,0,0,0,2.016,0,0,0,2.122,0,0,0,2.01,0,0,0,2.013,0,0,0,2.118,0,0,0,2.013,0,0,0,2.11,0,0,0,2.025,0,0,0,2.007,0,0,0,2.009,0,0,0,2.006,0,0,0,2.017,0,0,0,2.008,0,0,0,2.016,0,9,3,54,10,6,40,49,343,13,8,2,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,5,6,6,6,6,4,4,6,6,3,3,6,6,1,6,11|8|9|15|2|12|14|1|10|3|4|6|5|7|13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9|15|2|10|3|16|5|6|1|13|7|18|11|17|14|4|12|8,I looked at features of their faces but did not see features for all faces as it was too quick,It felt as though I had to identify potential criminals and who would have been at the scene of the crime. ,30,2,,2,,encoding-block2,individualdifference-experience|individualdifference-motivation,friendship
10/21/21 10:42,10/21/21 11:05,0,156.155.183.230,100,1351,1,10/21/21 11:05,R_1dnn5s9Oz1VJwKO,,,,,-33.9671936,25.57850647,anonymous,EN,1,0,0,2.1,0,0,0,2.023,0,0,0,2.169,0,0,0,2.166,0,0,0,2.116,0,0,0,2.118,0,0,0,2.159,0,0,0,2.171,0,0,0,2.067,0,0,0,2.067,0,0,0,2.105,0,0,0,2.012,0,0,0,2.009,0,0,0,2.064,0,0,0,2.011,0,0,0,2.013,0,0,0,2.013,0,0,0,2.07,0,0,0,2.115,0,0,0,2.114,0,0,0,2.008,0,0,0,2.089,0,0,0,2.07,0,0,0,2.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,54,10,6,40,49,343,10,8,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,6,4,4,6,1,6,1,6,6,3,1,6,1,1,3,5|10|7|3|4|1|12|11|2|15|8|6|9|14|13,4,5,4,4,5,5,5,5,5,4,4,4,4,5,4,4,5,4,1|18|9|17|16|10|6|7|5|8|14|2|3|4|11|15|12|13,I memorized expression by selecting certain facial features and linked the other question with my day to day interactions with people at home and school.,Diversity and first impressions,21,2,,2,,encoding-block1,individualdifference-experience|individualdifference-motivation,friendship
10/21/21 10:46,10/21/21 11:07,0,105.0.4.232,100,1265,1,10/21/21 11:07,R_1IuuTglgyzcsXG2,,,,,-26.38110352,27.83760071,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.02,0,0,0,2.022,0,0,0,2.111,0,0,0,2.011,0,0,0,2.02,0,0,0,2.113,0,0,0,2.113,0,0,0,2.016,0,0,0,2.018,0,0,0,2.112,0,0,0,2.021,0,0,0,2.012,0,0,0,2.117,0,0,0,2.119,0,0,0,2.018,0,0,0,2.119,0,0,0,2.011,0,0,0,2.011,0,0,0,2.017,0,0,0,2.021,0,0,0,2.127,0,0,0,2.015,0,0,0,2.112,0,0,0,2.017,0,9,3,54,10,6,40,49,149,13,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,5,1,3,6,6,3,1,6,6,1,6,5,1,1,6,6|8|11|10|1|15|4|14|2|13|3|9|5|12|7,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,4,3,4,17|12|1|4|11|14|15|10|16|8|5|7|3|6|18|13|2|9,Some thi gs i guessed some was my general knowledge ,It was about memory i think,33,2,,2,,encoding-block2,individualdifference-motivation|individualdifference-experience,friendship
10/21/21 10:57,10/21/21 11:12,0,41.1.80.58,100,876,1,10/21/21 11:12,R_uyljR0FqOEktucV,,,,,-26.38110352,27.83760071,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.113,0,0,0,2.014,0,0,0,2.014,0,0,0,2.013,0,1.337,1.337,2.113,1,0,0,2.011,0,0,0,2.114,0,0.948,0.948,2.112,1,0.407,1.215,2.011,2,0,0,2.115,0,0.667,1.612,2.013,2,0,0,2.012,0,1.997,1.997,2.012,1,0,0,2.016,0,1.39,1.882,2.011,2,0,0,2.017,0,0.324,1.622,2.012,3,0,0,2.012,0,0,0,2.013,0,1.11,1.11,2.011,1,0,0,2.012,0,0,0,2.01,0,0,0,2.11,0,0.966,1.559,2.011,2,9,3,56,10,6,55,49,343,13,8,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,5,3,5,5,5,3,3,6,5,2,3,5,6,1,6,13|12|9|8|5|11|14|7|6|4|3|2|10|1|15,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,7|6|8|14|13|3|9|11|15|10|4|5|17|12|2|16|1|18,"I don't interact or socialize with white people but I'm not unwilling to and with regards to inviting anyone over to my house, I'm not really for it in general. ",Impressions we have about certain people. ,27,2,,2,,encoding-block2,individualdifference-experience|individualdifference-motivation,friendship
10/21/21 10:55,10/21/21 11:14,0,102.65.85.159,100,1156,1,10/21/21 11:14,R_2XizUEYtESdZVSM,,,,,-26.38110352,27.83760071,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.112,0,0,0,2.004,0,0,0,2.117,0,0,0,2.117,0,0,0,2.118,0,0,0,2.115,0,0,0,2.01,0,0,0,2.012,0,0,0,2.018,0,0,0,2.011,0,0,0,2.119,0,0,0,2.016,0,0,0,2.005,0,0,0,2.114,0,0,0,2.116,0,0,0,2.115,0,0,0,2.019,0,0,0,2.011,0,0,0,2.013,0,0,0,2.01,0,0,0,2.113,0,0,0,2.017,0,0,0,2.011,0,0,0,2.118,0,6,3,54,100,6,40,343,21,13,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,3,1,6,6,1,1,6,6,1,4,6,1,1,1,4|10|15|5|2|11|13|8|14|1|9|3|12|6|7,5,1,4,3,5,5,5,1,3,1,1,1,3,3,5,4,1,1,15|1|7|13|6|8|11|14|18|5|16|12|10|17|2|3|4|9,I go via link ,Memory,32,2,,2,,encoding-block2,individualdifference-experience|individualdifference-motivation,friendship
10/21/21 10:47,10/21/21 11:15,0,197.229.6.254,100,1658,1,10/21/21 11:15,R_1oIwWkUW7z7N7Na,,,,,-33.91400146,18.41290283,anonymous,EN,1,0,0,2.124,0,0,0,2.123,0,0,0,2.122,0,0,0,2.118,0,0.633,0.633,2.017,1,0,0,2.117,0,0,0,2.125,0,0,0,2.008,0,0,0,2.016,0,0,0,2.015,0,0,0,2.039,0,0,0,2.017,0,0,0,2.021,0,0,0,2.017,0,0,0,2.115,0,0,0,2.017,0,0.97,0.97,2.019,1,0,0,2.021,0,0,0,2.118,0,0,0,2.018,0,0,0,2.017,0,0,0,2.019,0,0,0,2.014,0,0,0,2.019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,54,10,6,40,49,343,13,8,1,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,5,4,4,5,4,4,4,5,4,4,3,5,4,2,5,3|2|7|6|15|11|9|5|13|14|8|1|12|10|4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3|8|1|13|12|2|9|14|16|4|7|10|5|18|11|15|17|6,my daily social life who i surround myself is based on character and not race,race acceptance,39,2,,2,,encoding-block1,individualdifference-experience|individualdifference-motivation,friendship
10/21/21 10:55,10/21/21 11:17,0,197.185.106.140,100,1300,1,10/21/21 11:17,R_veF2zbtRPrL4a6B,,,,,-26.38110352,27.83760071,anonymous,EN,1,0,0,2.112,0,0,0,2.116,0,0,0,2.118,0,0,0,2.116,0,0,0,2.016,0,0,0,2.113,0,0,0,2.011,0,0,0,2.018,0,0,0,2.11,0,0,0,2.111,0,0,0,2.013,0,0,0,2.113,0,0,0,2.109,0,0,0,2.007,0,0,0,2.01,0,0,0,2.015,0,0,0,2.113,0,0,0,2.015,0,0,0,2.108,0,0,0,2.012,0,0,0,2.016,0,0,0,2.018,0,0,0,2.016,0,0,0,2.016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.18,54,10,6,40,49,343,13,8,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,6,3,4,6,3,5,2,6,6,2,5,6,2,3,6,1|2|5|8|13|6|14|15|9|3|10|4|12|7|11,4,4,3,5,4,4,4,3,3,4,3,4,4,4,4,4,3,3,18|12|1|13|17|5|14|3|11|16|2|9|4|8|10|15|7|6,I looked at the people I work with on a daily and my friends. At work there is a lot of interaction with a lot of people of varying races,The relationship between the two races,26,2,,1,,encoding-block1,individualdifference-motivation|individualdifference-experience,friendship
10/21/21 11:09,10/21/21 11:24,0,165.73.89.131,100,887,1,10/21/21 11:24,R_1pWrV5RzfNBuCbL,,,,,-25.75990295,28.26040649,anonymous,EN,1,0,0,2.015,0,0,0,2.007,0,0,0,2.015,0,0,0,2.166,0,0,0,2.013,0,0,0,2.121,0,0,0,2.013,0,0,0,2.019,0,0,0,2.015,0,0,0,2.012,0,0,0,2.109,0,0,0,2.111,0,0,0,2.107,0,0,0,2.015,0,0,0,2.115,0,0,0,2.117,0,0,0,2.114,0,0,0,2.067,0,0,0,2.014,0,0,0,2.017,0,0,0,2.009,0,0,0,2.113,0,0,0,2.113,0,0,0,2.123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,54,10,6,40,49,343,13,8,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,1,6,4,3,3,6,3,4,6,6,4,3,5,3,2,6,11|13|12|4|10|7|2|9|3|6|1|8|5|15|14,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,6|8|10|5|15|3|13|4|2|18|9|17|11|12|14|7|16|1,I interact with both black and white people,racism,21,2,,2,,encoding-block1,individualdifference-motivation|individualdifference-experience,friendship
10/21/21 11:25,10/21/21 11:27,0,41.144.73.1,100,109,1,10/21/21 11:27,R_1FKuqlDGVe0wazx,,,,,-26.38110352,27.83760071,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
